y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.394, w: 6.0, Error: 0.606, kp 0.9, duty cycle: 65.0619354839
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.406, w: 6.0, Error: 0.594, kp 0.9, duty cycle: 65.0503225806
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.471, w: 6.0, Error: 0.529, kp 0.9, duty cycle: 64.9922580645
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.523, w: 6.0, Error: 0.477, kp 0.9, duty cycle: 64.9458064516
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
